lap,driver_idx,pitstop_prob,decision
6,9,0.0323,0
6,10,0.0328,0
6,11,0.0323,0
6,12,0.0324,0
6,13,0.0328,0
6,14,0.0328,0
6,15,0.0326,0
6,16,0.0323,0
6,17,0.0328,0
6,18,0.0323,0
6,19,0.0322,0
7,0,0.0324,0
7,1,0.0331,0
7,2,0.0371,0
7,3,0.0324,0
7,4,0.0331,0
7,5,0.0331,0
7,6,0.0354,0
7,7,0.0446,0
7,8,0.0342,0
7,9,0.0324,0
7,10,0.0331,0
7,11,0.0325,0
7,12,0.0326,0
7,13,0.0329,0
7,14,0.0331,0
7,15,0.0329,0
7,16,0.0324,0
7,17,0.0331,0
7,18,0.0324,0
7,19,0.0323,0
8,0,0.0326,0
8,1,0.0338,0
8,2,0.0419,0
8,3,0.0326,0
8,4,0.0338,0
8,5,0.0338,0
8,6,0.0388,0
8,7,0.0569,0
8,8,0.0361,0
8,9,0.0326,0
8,10,0.0338,0
8,11,0.0326,0
8,12,0.0328,0
8,13,0.0333,0
8,14,0.0338,0
8,15,0.0333,0
8,16,0.0326,0
8,17,0.0338,0
8,18,0.0326,0
8,19,0.0324,0
9,0,0.0328,0
9,1,0.0348,0
9,2,0.0531,0
9,3,0.0328,0
9,4,0.0348,0
9,5,0.0348,0
9,6,0.0460,0
9,7,0.0847,0
9,8,0.0400,0
9,9,0.0328,0
9,10,0.0348,0
9,11,0.0329,0
9,12,0.0332,0
9,13,0.0341,0
9,14,0.0348,0
9,15,0.0341,0
9,16,0.0328,0
9,17,0.0348,0
9,18,0.0328,0
9,19,0.0326,0
10,0,0.0332,0
10,1,0.0365,0
10,2,0.0775,0
10,3,0.0332,0
10,4,0.0365,0
10,5,0.0365,0
10,6,0.0604,0
10,7,0.1377,0
10,8,0.0476,0
10,9,0.0332,0
10,10,0.0365,0
10,11,0.0334,0
10,12,0.0338,0
10,13,0.0355,0
10,14,0.0365,0
10,15,0.0355,0
10,16,0.0332,0
10,17,0.0365,0
10,18,0.0332,0
10,19,0.0328,0
11,0,0.0339,0
11,1,0.0395,0
11,2,0.1306,0
11,3,0.0339,0
11,4,0.0395,0
11,5,0.0395,0
11,6,0.0919,0
11,7,0.2324,0
11,8,0.0631,0
11,9,0.0339,0
11,10,0.0395,0
